Apatani,English
a,an interjection at the end of a sentence to emphasize or reinforce the statement made
a -ha,overly
a few,iche/ichu a
a little,iche/
a'nga,term used to address a child affectionately
aalú,potato
aamw,mango
aapu kai,showy; ostentatious (person)
aarañ,deep
aarda,tomorrow
aarda-rida,in the future; in the coming days
aare,quick; fast; swift
aarv,Portion of lower limb of an animal
aarìda,in the future; in the coming years
aarí,saw
aaxa’,shallow
aba,father; daddy (term of address and reference)
aba-chi,stepfather
abagii,to bring along with; to cause someone to come along
aban,[a´bã] n
abañ,elder brother
abañ,burning pain
abañ,bury (esp. in ash)
aba’,put a load; help carry
abba,father; daddy; papa
abba-apá,ancestor; forefather; progenitor
abba-axá,man (esp. married man); adult man
abba-bañkuñ,great grandfather
abba-ci,step father
abi,lady skirt
abi hete,strip design of some ceremonial skirts
abi lako,trousers button
abi-nanii,swing
abi-tarii,clothes
abii,(Anat
abii-alo,body structure
abin,adj
abiñ,fruitful; productive  . Gambo heñpvr ayapa purilala la sabw fido ku
abi’,complete
able to,-la about (approximately) part
abo,to come along with someone
abrv,something; something that is unspecified or unknown[ var.  abvr]
abu,pipe
abu haja,too much; too many
abu-ake,to provide nutriments/fertilizer to a plant or crop
abu-ake’,manure; fertilizer
abuje,many; various
abur,unlucky; unfortunate
abur-aro,"luck/fortune, in general (either good or bad)"
abuya,the greater number of; a majority of; most
abuyapa,in greater numbers
abu’,coddled; pampered
abu’swla,indulgently
abvr,something; something that is unspecified or unknown
abya,ladder; staircase 
abyo,endearingly; fondly; affectionately [adj.  endearing]
abyu,move; shake; flutter; budge
abyu-akhelama,unable to move
abyu-ate’,movement; motion; activity
abyu-axe’,movement; motion; activity
abyun- nanii,nanii n
abyuñ,give a finishing touch by filling up soil (of a hole in the soil) or by binding
abyuñ-afuñ,finish binding; tie up by tightening the rope after binding something
abyá,ladder; stepladder
abyóo,headgear of a priest made of woven cloth
abíi,lower garment whether skirt or pant
abíi-tarw,dress; clothes; garments; attire
abù,many; numerous; a lot of; plenty of
abú,unlucky; unfortunate; jinxed; ill-fated
abúr,unlucky; unfortunate; jinxed; ill-fated  [Ant.  aro’]
abúu,a cylinderical structure
accident this,"is reconstructed by, or with the help of the owner's *nyimii nyanii"
ace’,narrow; tight
acha,to put up; to move or raise something to a higher place or position from a lower one; to erect
ache,narrow; tight
achi,term of address for any wife of one's *ate:
achi baro,kits and kin
achi buru,kits and kin
achi taker,star
achi- baro,kiths and kin
achi- chipyo,prone to get sick
achi-ahe,disease; ailment; sickness
achi-chiga,to be often/always sick
achi-chigii,to cause someone to be or feel sick
achi-chiru,"hardy, as of a person"
acho,many; plenty of
achu-amyo,animal
achun,[atɕũ] vt
aci takvr,star
aci-afá,precarious; critical
aciñ,group; crowd
acuñ,hide; conceal; camouflage; cove up
acáa,put up; erect
ací,elder brother’s wife (term of address)
ací-baró,brothers; siblings
ací-búrù,brothers; siblings
acò-amyò,animals; creatures
ada,person who has only one spouse during his or her lifetime; person who
ada nyibu,"priest who is married, has never divorced, and whose wife is still alive"
adan,adj
adanja,"strongest, most robust"
adanya,stronger; more robust
ade,to come near; to come close
ade-ade,to keep coming
adin,[a´di] n
adin akhii,akhii n
adin amu,amu n
adin byokho,byokho n
adin dimu,dimu n
adiñ ce’nw,barber
adiñ dilañ,grey or red hair
adiñ diñji,black hair
adiñ diñpúu,white or grey hair
adiñ ácì,headache
ado,stalk; main stem of a herbaceous plant
ado bije,bamboo grove located far away from the dwelling area (as opposed to *uko bije)
adoja,"farest, most distant"
adomapa,closely
adoya,farer; farther; more distant
adoya ho,farther; to a greater distance
adu,time for coming; time to come
adun-arun,adj
aduñ-arañ,disoriented; muddled; confused
adáa,a person who has always had only one wife
adóo,distant; far; remote
adú,noise; sound  [v.  make noise]
afañ,num.  ten
afañ pwfi,num.	forty
afañ xw,num.	sixty
afañ yaqo,num.	fifty
afa’,lick; lap
afee,shiver; tremble; shudder
afe’,door
afe’ ago,doorstep
afiñ,smart; bright; savvy
afiñ,evening; dusk; late afternoon
afiñ,pancreas
afiñ dafi,afternoon
afi’,pig
afi’ asi’,cage for pig
afi’ yo,pork
afoo,tongue
afí,"air, wind"
afí,bow
afí-aróo,storm; rainstorm; windstorm
afí-yasì,weather; climate
afóo goñsò,mantis
afú,lose something; misplace
aga,to come often
aga swco,interjection to express indifference; let it be
agaja,quickest
agaya,Quicker
age,bamboo quiver for holding arrows
ager,(Agr
ager gar,to construct a bund in a paddy field
ager sopi,(Agr
age’,stick as with glue
age’,quiver
agii,to dress; to put on cloth; to put a cloth on someone
agin-aye mii,mii vcn
agiñ,trouble; irk; niggle
agiñ,post. with; along with; in the same direction
ago,outside; exterior
ago empun,[ago`empun] n
