English,Apatani
a few,iche/ichu
a few days,lonyi-lohin
a little bit (of),iche abu/ichu abu
a lot (frequency),-ga
a lot (quantity),-ga
abhor,kacho
able to,-la
above (the ground level),apya
abrade,kha
abrupt (manner),tutupopo
abscess,huli
absorb,sa
absorbed (in a task),-na
abstain (from work),anyo/nyo
abstinence from work (religious),anyoniin/nyoniin
accept (proposal),talii
accomplish (task),miigo mii
accuse,khelii (Hi)/khiilii
accusative case marker,mi
accusative case suffix,-mi
accustom,hennyo-miinyo
aceros nipalensis,piiyo
aceros undulatus,piigya-gyapu/piigya-gyalan
achieve,penchi
aching,achi
aconite (aconitum ferox),iimyo
acorus (acorus calamus),kiile tolyo
acquaintance,kalasiiniin
acridotheres tristis,halika*
act (bravely and boldly),miire
act (contrary to a previous agreement),miikho
act (energetically),miikhe
act (of physical vengeance),miiliniin
act (partially),miisan
act (of verbal vengeance),luliniin
actinidia sp.,sanii taro
action nominalizer,-niin/-nii
actor nominalizer,-nii
adam's apple,miji lanchu
addicted,diikhin
addition,khiidiniin
add (state further),luba
adequate,niirii
adhere,age/ge
adjacent paddy field (upper),garta
adjacent paddy field (lower),garpii
adjoining room/house,belii
adolescent cattle,siido
adultery,ipyonii.
advice,tonser
advise,tonser
affect,hoi*
affectionate,henii
affectionately,heniipa
afraid,biiso
afternoon,alyin dalyi
again and again,-de...-de
agreement,tadinsiiniin
agricultural labour team (paddy fields),aji patan
agricultural labour team (paddy harvest),entii patan
agricultural labour team (bamboo groves),bije lenda
agricultural labour team (fencing),sulu sikhii
air potato (dioscorea bulbifera),hula
air potato roots,lase
aircraft,jaji*
airplane,jaji*
alas!,ayadu!
alcedo atthis,yasi pari
alert,alyin/alyin atu
algae,pango-tango
alive,"tur (Ha, Bu)/ tor"
allium sp. (edible),tale/lepi
almost,cheda
along with,-bo
also,tare (Hi)/tere (Ha)/ter (Bu)/tiire
altar,agyan
alternatingly,-gya
always,kiirampa
amaranth (amaranthus spp.),tayi haman
amend,-lyan
ammunition,dankho-panyi
ancestors,aba-ata atan
ancient times,kolyun-kolyo
and (following pronouns),-nyi
and (following proper nouns),nyi
anger,hadii
angry,hadii
animal,achu-amyo
animal excreta/faeces,ikha
animal manure,ikha
ankle,lii'nga
annoy,henga-henkha
ant,taru
ant lion,iichi padu
any,henko
any one,henko ako/henko kone
anyone,henko ako/henko kone
anything,niijalo
apatani language,Tanii agun
aperture,uko
appear (come out),lin
appear (in a new shape),kar
"apply (paste, ointment)",ano
april,halyin piilo
appropriately,miidipa/miidiko
arbitration,gondu
arborophila sp.,pakhu
archer's wristband,lahii
ardent (resolute),gager
ardently (resolutely),gagerpa
argue,che
arm (upper),lapo
arm span,ala tuye
armpit,gorkhan
around,-dun
around the world,palo-malo
arrogant,tunii
arrow,apii/apu
artemisia indica,kukulyu haman (Hi)/kuku lyolye haman
articulation (of the leg),liirii
artifact,biti yamo
as (while),"-kiile (Bu, Hi)/-kele"
as a trial/as a test,-ka
as ... as,niimkane...niimkane
as if/though,hiilyan
as much as,niimkane...niimkane
as play/as pastime,-min
as well,tare (Hi)/tere (Ha)/ter (Bu)/tiire
ascend,cha
ash (from firewood),mubu/miiyu
ash (from burnt straws),muyu
ash (used to prepare 'ash juice'),piyu
ashamed,hiinyan
ashy wood pigeon (columba pulchricollis),khentii paku
asian fairy bluebird (irena puella),doji ropo
asian golden cat (catopuma temmincki),solan
asian house gecko (hemidactylus frenatus),sopin
asian pear (pyrus pyrifolia),naspati/nashpati
asiatic tearthumb (polygonum perfoliatum),ropu
ask (repeatedly),taje
asthma,asii sarin
assam snaileater (pareas monticola),biipii tabu
assamese snake head fish (channa stewartii),tabu ngiiyi
assemble,adin
assemble (crowd),bun
assist,miirii
assist (someone in doing something),-bo
assistant,miiriibo
assume,helii
at last,kamija ho/kami-kaloja ho
at my place,ngiiko
at our place,ngunuko
at his/her place,moko
at their place,moluko
at your place (sg.),niiko
at your place (pl.),nunuko
attach (by gluing),gedin
attain,-pa
august,milo piilo/halo piilo
"aunt (maternal, term of address)",ata
"aunt (maternal, term of reference)",atabo
"aunt (paternal, term of address)",ata
"aunt (paternal, term of reference)",atabo
"aunt-in-law (paternal, term of address)",achi
"aunt-in-law (paternal, term of reference)",achibo
aunt-in-law (term of address),achi
aunt-in-law (term of reference),achibo
autumn,chayin-doyin
awake (be),hu
awake,ahu.
axe,yahii
axilla,gorkhan
azolla (azolla pinnata),nyipa yaru
baby,ii'nga
bachelor (old),butun
back and forth,-ko...-pe
back (of the body),hoan
back (of the hand),lapin
back (of the knee),liige
back (of the neck),lanyan
back side of the house,ura empun
backbone,hoan alo
back-strap of plaited cane,se (Hi)/she
backside,kiilin
bacon,yo aso
bacteria (invisible infectious agent),take
bad,ayama
bad-looking,karu
bad luck,pobii
bad-tempered,"hendii (Ha,Bu)/hindii"
bait,ani
bald,dumbin
ball,alin
balsam pear (momordica charantia),kerela*
bamboo (generic),bije
bamboo (branchless),haser
bamboo (forked),tarkho
bamboo (immature),apa
"bamboo (small-sized, cultivated variety)",bije-binyi
"bamboo (cultivated variety, whose colour has turned black)",bihan
bamboo firewood,saro
bamboo grove (remote from the village),ado bije
bamboo grove (close to the village),uko bije
bamboo half,potu
bamboo half section (longitudinally cut),bije pata
bamboo joint,hatin
bamboo partition/wall,myopii
bamboo plate,"paku (Ha, Bu, Ho)/paka"
bamboo rope,yamyo
bamboo shoot,"byapu (Ha, Bu)/behe"
bamboo shoot outer cover,"byapu aru (Ha, Bu)/behe aru"
bamboo section (used as mortar),yormii sudu
bamboo smoking pipe,bije sudu
bamboo sharp edge (used for fencing),biran patu
bamboo splits (used for demarcating land),takho
bamboo stilts,ali innii-nanii
bamboo strip (used to tighten the beams of a traditional house),roko
bamboo stump,bije biran
bamboo tube receptacle,hubu
bamboo tube (used as bloodletting device),take birii/tiike birii
bamboo wall,tarsi
banana fruit,kiipa ahi
banana tree (general),kiipa
banana tree (wild),kulu
banana leaf (wild),kulu anii
"band (of people, animals)",ton-
banded agate bead,khiinii miru
bandicota bengalensis,pihan/uyi kubu
bangs,miidu-miiye
banyan tree,saro sanii
bargain,paka
bark,pi
barking deer,siidin
barking deer buck,siidin-dimbo
barking deer doe,siidin-dinnii
barred spiny eel (macrognathus pancalus),ribu ngiiyi
barren soil,dikhii/kiidi-dikhii
barricade,dibii narun
base,aran/liidi aran
base (of the leg and foot),ali aran
base (of a tree),sanii aran
bash against the ground,hitin
basic necessities,yasi-yamu
bask,hi
bat (generic),tapun
bathe,harsu
battle,gyambo pasu
be (born),salin
be descended (from),bupin
be enough (for),byan
be inventive in doing something,miicher mii
be sitting side by side (not face to face),kopii
be sure of one's ability to do something,sape
"be surrounded by a large number of things, as a swarm of bees",bompu
be worth,khii
bead (general),tasan
beak,hibu
beam,jombii
beam (ridge),malo abu/manpo
bean (long),perun/peron
bear (esp. himalayan black bear),siitin
bear (child),ii'nga gii
bear (fruit),hi
bear in mind,henge
beard,gommu
beat,dan
beat (heart),du
beat (heart),aha duniin
beckon,hoye
become,lyi
become poor,jugo-byago
become smaller,betun
bedbug (cimex sp.),pepu tabu
bedtime,imidu
bee (generic),nyanyi
bee eater (merops sp.),achu galan
beef,sii yo
beer (rice/millet),o
beer (diluted after repeated pouring of water),pokhe
beetle,chunyi
beeswax,ikun
befall,yaje
before,-marampa
before (someone else does),-go
before (any other does),-pyo
begining,miiriniin
behalf,-bi
bell (tibetan),maji
bell (priestly),dolyan riichan
bellow,magu
belly button,khiinii
bend (forward),khanju
bend (slightly),taki
"benign (lesion, injury)",unyo
bent (result),-ki
